expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
157|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.836|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
158|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
160|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.836|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
162|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
163|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
165|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.69|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
166|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|5.55|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
170|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|5.736|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
171|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
174|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
175|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|6.836|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
176|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
177|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2011-12|1|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
